Sample ,2016B ,2016C ,2016D ,2016E ,2016F ,2016G ,2016H ,sum (mb-1),sum (fb-1)
SingleElectron ,5561298829.077,2412782433.449,4241273108.995,3820857363.692,2832065399.869,6893930731.747,8283445425.807,34045653292.636,34.0456532926
SingleMuon ,5840063059.395,2523447696.817,4275320129.305,3839184008.312,2898669614.585,7383952466.412,8283713045.538,35044350020.364,35.0443500204
DoubleEG ,5845211195.174,Submit failure ,4353448810.554,3878949707.925,3160088406.608,7448890837.511,8283712968.513,32970301926.285,32.9703019263
DoubleMuon ,5868835353.384,2631683892.339,4339146636.636,4034046199.411,3160088406.608,7505447823.599,8152886495.841,35692134807.818,35.6921348078
MuonEG ,2632816241.497,2632816241.497,4353448810.554,4049732039.245,3116950909.127,7540114203.556,8283713045.538,32609591491.014,32.609591491
